timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687017424676,2,HTTP Request,200,OK,TG_1_Small_500 1-1,text,true,,288,137,1,1,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017424708,2,HTTP Request,200,OK,TG_1_Small_500 1-2,text,true,,288,137,2,2,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017424743,1,HTTP Request,200,OK,TG_1_Small_500 1-3,text,true,,288,137,3,3,http://192.168.56.101/small/test1_small.txt,1,0,0
1687017424775,2,HTTP Request,200,OK,TG_1_Small_500 1-4,text,true,,288,137,4,4,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017424796,1,HTTP Request,200,OK,TG_1_Small_500 1-1,text,true,,286,137,4,4,http://192.168.56.101/small/test2_small.txt,1,0,0
1687017424807,2,HTTP Request,200,OK,TG_1_Small_500 1-5,text,true,,288,137,5,5,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017424841,1,HTTP Request,200,OK,TG_1_Small_500 1-6,text,true,,288,137,6,6,http://192.168.56.101/small/test1_small.txt,1,0,0
1687017424873,2,HTTP Request,200,OK,TG_1_Small_500 1-7,text,true,,288,137,7,7,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017424906,2,HTTP Request,200,OK,TG_1_Small_500 1-8,text,true,,288,137,8,8,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017424939,2,HTTP Request,200,OK,TG_1_Small_500 1-9,text,true,,288,137,9,9,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017424948,1,HTTP Request,200,OK,TG_1_Small_500 1-2,text,true,,286,137,9,9,http://192.168.56.101/small/test2_small.txt,1,0,0
1687017424973,2,HTTP Request,200,OK,TG_1_Small_500 1-10,text,true,,288,137,10,10,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017425006,2,HTTP Request,200,OK,TG_1_Small_500 1-11,text,true,,288,137,11,11,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017425038,2,HTTP Request,200,OK,TG_1_Small_500 1-12,text,true,,288,137,12,12,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017425071,2,HTTP Request,200,OK,TG_1_Small_500 1-13,text,true,,288,137,13,13,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017425102,1,HTTP Request,200,OK,TG_1_Small_500 1-3,text,true,,286,137,13,13,http://192.168.56.101/small/test2_small.txt,1,0,0
1687017425105,1,HTTP Request,200,OK,TG_1_Small_500 1-14,text,true,,288,137,14,14,http://192.168.56.101/small/test1_small.txt,1,0,1
